"","X","match_date","hometeam","awayteam","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11"
"1265",1265,"2003-11-22","Man United","Blackburn","Tim Howard","Gary Neville","John O'Shea","Mikael Silvestre","Rio Ferdinand","Phil Neville","Quinton Fortune","Roy Keane"," Kleberson","David Bellion","Ruud Van Nistelrooy","Brad Friedel","Markus Babbel","Brett Emerton","Vratislav Gresko","Craig Short","Steven Reid","Andy Todd","Barry Ferguson","Garry Flitcroft","Matt Jansen","Dwight Yorke"
"1266",1266,"2003-11-22","Middlesbrough","Liverpool","Mark Schwarzer","Colin Cooper","Andrew Davies","Gareth Southgate","Franck Queudrue","George Boateng"," Doriva"," Juninho","Gaizka Mendieta","Bolo Zenden","Michael Ricketts","Chris Kirkland","Steve Finnan","Djimi Traore","Sami Hyypia","Igor Biscan","Steven Gerrard","Danny Murphy","Harry Kewell","El Hadji Diouf","Emile Heskey","Michael Owen"
"1267",1267,"2003-11-22","Newcastle","Man City","Shay Given","Aaron Hughes","Titus Bramble","Jonathan Woodgate","Gary Speed","Olivier Bernard","Kieron Dyer","Jermaine Jenas","Laurent Robert","Shola Ameobi","Alan Shearer","David Seaman","Sylvain Distin","SUN Ji Hai","Richard Dunne","Joey Barton","Paul Bosvelt","Steve McManaman","Trevor Sinclair","Michael Tarnat","Nicolas Anelka","Robbie Fowler"
"1268",1268,"2003-11-22","Southampton","Chelsea","Antti Niemi","Danny Higginbotham","Claus Lundekvam","Rory Delap","Graeme Le Saux","Fabrice Fernandes","Leandre Griffit","Chris Marsden","Paul Telfer","Brett Ormerod","Kevin Phillips","Carlo Cudicini","Mario Melchiot","William Gallas","John Terry","Wayne Bridge","Joe Cole","Frank Lampard","Claude Makelele","Damien Duff","Eidur Gudjohnsen","Jimmy Floyd Hasselbaink"
"1269",1269,"2003-11-23","Tottenham","Aston Villa","Kasey Keller","Stephen Carr","Anthony Gardner","Paul Konchesky","Dean Richards","Ledley King","Mauricio Taricco","Darren Anderton","Stephane Dalmat"," Helder Postiga","Robbie Keane","Thomas Sorensen","Mark Delaney","JLloyd Samuel","Ronny Johnsen","Olof Mellberg","Gareth Barry","Lee Hendrie","Thomas Hitzlsperger","Peter Whittingham","Marcus Allback","Darius Vassell"
"1270",1270,"2003-11-24","Fulham","Portsmouth","Edwin van der Sar","Moritz Volz","JÈrome Bonnissel","Zat Knight","Andy Melville","Lee Clark","Sean Davis","Sylvain Legwinski","Steed Malbranque","Barry Hayles","Louis Saha","Harald Wapenaar","Hayden Foxe","Dejan Stefanovic","Arjan De Zeeuw","Sebastian Schemmel","Patrik Berger","Gary O'Neil","Tim Sherwood","Steve Stone","Teddy Sheringham"," Yakubu Ayegbeni"
"1271",1271,"2003-11-29","Aston Villa","Southampton","Thomas Sorensen","JLloyd Samuel","Olof Mellberg","Dion Dublin","Gareth Barry","Ulises de la Cruz","Lee Hendrie","Gavin McCann","Peter Whittingham","Juan Pablo Angel","Darius Vassell","Antti Niemi","Danny Higginbotham","Claus Lundekvam","Michael Svensson","Rory Delap","David Prutton","Anders Svensson","Paul Telfer","Neil McCann","James Beattie","Kevin Phillips"
"1272",1272,"2003-11-29","Blackburn","Tottenham","Brad Friedel","Markus Babbel","Brett Emerton","Vratislav Gresko","Nils-Eric Johansson","Craig Short","Andy Todd","Barry Ferguson"," Tugay Kerimoglu","Paul Gallagher","Dwight Yorke","Kasey Keller","Stephen Carr","Anthony Gardner","Paul Konchesky","Dean Richards","Ledley King","Mauricio Taricco","Darren Anderton","Stephane Dalmat"," Helder Postiga","Robbie Keane"
"1273",1273,"2003-11-29","Bolton","Everton","Jussi J‰‰skel‰inen","Nicky Hunt","Bruno N'Gotty","Ivan Campo","Simon Charlton","Per Frandsen","Ricardo Gardner","Stelios Giannakopoulos","Kevin Nolan","Jay Jay Okocha","Kevin Davies","Nigel Martyn","David Unsworth","Alan Stubbs","Tony Hibbert","Kevin Kilbane","Joseph Yobo","Lee Carsley","Thomas Gravesen","Tobias Linderoth","Tomasz Radzinski","Wayne Rooney"
"1274",1274,"2003-11-29","Charlton","Leeds","Dean Kiely","Mark Fish","Hermann Hreidarsson","Chris Perry","Radostin Kishishev","Matt Holland","Claus Jensen","Scott Parker","Graham Stuart","Jason Euell","Mathias Svensson","Paul Robinson","Garry Kelly","Michael Duberry","Lucas Radebe","Dominic Matteo","James Milner","Ian Harte","David Batty","Jermaine Pennant","Alan Smith","Mark Viduka"
"1275",1275,"2003-11-29","Portsmouth","Leicester","Harald Wapenaar","Hayden Foxe","Dejan Stefanovic","Boris Zivkovic","Arjan De Zeeuw","Patrik Berger","Tim Sherwood","Alexei Smertin","Steve Stone","Teddy Sheringham"," Yakubu Ayegbeni","Ian Walker","John Curtis","Steve Howey","Riccy Scimeca","Jordan Stewart","Ben Thatcher","Muzzy Izzet","Billy McKinlay","James Scowcroft","Marcus Bent","Les Ferdinand"
"1276",1276,"2003-11-29","Wolves","Newcastle","Michael Oakes","Paul Butler","Jody Craddock","Denis Irwin","Lee Naylor","Keith Andrews","Joey Gudjonsson","Alex Rae","Henri Camara","Mark Kennedy","Nathan Blake","Shay Given","Aaron Hughes","Titus Bramble","Jonathan Woodgate","Gary Speed","Olivier Bernard","Lee Bowyer","Kieron Dyer","Jermaine Jenas","Lomano Tresor Lua Lua","Alan Shearer"
"1277",1277,"2003-11-30","Arsenal","Fulham","Jens Lehmann","Sol Campbell","Pascal Cygan","Kolo Toure","Ashley Cole"," Edu"," Gilberto Silva","Freddie Ljungberg","Robert Pires","Dennis Bergkamp","Thierry Henry","Edwin van der Sar","Moritz Volz","JÈrome Bonnissel","Zat Knight","Andy Melville","Lee Clark","Sean Davis","Junichi Inamoto","Sylvain Legwinski","Steed Malbranque","Louis Saha"
"1278",1278,"2003-11-30","Chelsea","Man United","Carlo Cudicini","Mario Melchiot","William Gallas","John Terry","Wayne Bridge","Joe Cole"," Geremi","Frank Lampard","Claude Makelele","Hernan Crespo","Adrian Mutu","Tim Howard","Gary Neville","John O'Shea","Mikael Silvestre","Rio Ferdinand","Phil Neville","Quinton Fortune","Ryan Giggs","Roy Keane","Diego Forlan","Ruud Van Nistelrooy"
"1279",1279,"2003-11-30","Liverpool","Birmingham","Chris Kirkland","Djimi Traore","Sami Hyypia","Igor Biscan","Salif Diao","Steven Gerrard","Dietmar Hamann","Harry Kewell","El Hadji Diouf","Emile Heskey","Florent Sinama-Pongolle","Ian Bennett","Kenny Cunningham","Matthew Upson","Jamie Clapham","Stephen Clemence","David Dunn","Damien Johnson","Stan Lazaridis","Robbie Savage","Christophe Dugarry","Mikael Forssell"
"1280",1280,"2003-11-30","Man City","Middlesbrough","Kevin Stuhr Ellegaard","Sylvain Distin","SUN Ji Hai","David Sommeil","Richard Dunne","Joey Barton","Claudio Reyna","Trevor Sinclair","Shaun Wright-Phillips","Nicolas Anelka","Paulo Wanchope","Mark Schwarzer","Danny Mills","Colin Cooper","Gareth Southgate","Franck Queudrue","George Boateng"," Doriva"," Juninho","Gaizka Mendieta","Bolo Zenden","Michael Ricketts"
"1281",1281,"2003-12-06","Birmingham","Blackburn","Maik Taylor","Kenny Cunningham","Jeff Kenna","Olivier Tebily","Jamie Clapham","David Dunn","Damien Johnson","Stan Lazaridis","Robbie Savage","Christophe Dugarry","Mikael Forssell","Brad Friedel","Markus Babbel","Brett Emerton","Vratislav Gresko","Craig Short","Lucas Neill","Andy Todd","Barry Ferguson"," Tugay Kerimoglu","Paul Gallagher","Dwight Yorke"
"1282",1282,"2003-12-06","Fulham","Bolton","Edwin van der Sar","Moritz Volz","JÈrome Bonnissel","Zat Knight","Andy Melville","Lee Clark","Sean Davis","Junichi Inamoto","Sylvain Legwinski","Steed Malbranque","Louis Saha","Jussi J‰‰skel‰inen","Nicky Hunt","Bruno N'Gotty","Ivan Campo","Simon Charlton","Youri Djorkaeff","Per Frandsen","Ricardo Gardner","Kevin Nolan","Jay Jay Okocha","Kevin Davies"
"1283",1283,"2003-12-06","Leeds","Chelsea","Paul Robinson","Garry Kelly","Michael Duberry","Lucas Radebe","Dominic Matteo","James Milner","Ian Harte","Stephen McPhail","Jermaine Pennant","Alan Smith","Mark Viduka","Carlo Cudicini","Mario Melchiot","William Gallas","John Terry","Wayne Bridge","Joe Cole","Frank Lampard","Claude Makelele","Damien Duff","Jimmy Floyd Hasselbaink","Adrian Mutu"
"1284",1284,"2003-12-06","Leicester","Arsenal","Ian Walker","Steve Howey","Callum Davidson","Riccy Scimeca","Jordan Stewart","Ben Thatcher","Andy Impey","Billy McKinlay","James Scowcroft","Marcus Bent","Les Ferdinand","Jens Lehmann","Sol Campbell","Pascal Cygan","Kolo Toure","Ashley Cole"," Edu"," Gilberto Silva","Freddie Ljungberg","Robert Pires","Jeremie Aliadiere","Dennis Bergkamp"
"1285",1285,"2003-12-06","Man United","Aston Villa","Tim Howard","Gary Neville","Mikael Silvestre","Rio Ferdinand","Phil Neville","Quinton Fortune","Ryan Giggs","Roy Keane"," Kleberson","Cristiano Ronaldo","Ruud Van Nistelrooy","Thomas Sorensen","Mark Delaney","JLloyd Samuel","Olof Mellberg","Dion Dublin","Gareth Barry","Lee Hendrie","Gavin McCann","Peter Whittingham","Juan Pablo Angel","Darius Vassell"
"1286",1286,"2003-12-06","Middlesbrough","Portsmouth","Mark Schwarzer","Danny Mills","Colin Cooper","Gareth Southgate","Franck Queudrue","George Boateng","Jonathan Greening"," Juninho","Gaizka Mendieta","Bolo Zenden","Michael Ricketts","Pavel Srnicek","Hayden Foxe","Boris Zivkovic","Arjan De Zeeuw","Matt Taylor","Patrik Berger","Amdy Faye","Alexei Smertin","Steve Stone","Teddy Sheringham"," Yakubu Ayegbeni"
"1287",1287,"2003-12-06","Newcastle","Liverpool","Shay Given","Aaron Hughes","Titus Bramble","Jonathan Woodgate","Gary Speed","Olivier Bernard","Kieron Dyer","Jermaine Jenas","Laurent Robert","Shola Ameobi","Alan Shearer","Chris Kirkland","Jon Otsemobor","John Arne Riise","Sami Hyypia","Igor Biscan","Steven Gerrard","Dietmar Hamann","Danny Murphy","El Hadji Diouf","Emile Heskey","Florent Sinama-Pongolle"
"1288",1288,"2003-12-06","Tottenham","Wolves","Kasey Keller","Stephen Carr","Anthony Gardner","Dean Richards","Ledley King","Mauricio Taricco","Darren Anderton","Gus Poyet","Rohan Ricketts","Frederic Kanoute","Robbie Keane","Michael Oakes","Paul Butler","Jody Craddock","Denis Irwin","Lee Naylor","Colin Cameron","Paul Ince","Alex Rae","Henri Camara","Mark Kennedy","Nathan Blake"
"1289",1289,"2003-12-07","Everton","Man City","Nigel Martyn","David Unsworth","Alan Stubbs","Tony Hibbert","Gary Naysmith","Lee Carsley","Thomas Gravesen","LI Tie","Francis Jeffers","Tomasz Radzinski","Wayne Rooney","David Seaman","Sylvain Distin","SUN Ji Hai","David Sommeil","Richard Dunne","Joey Barton","Steve McManaman","Trevor Sinclair","Shaun Wright-Phillips","Nicolas Anelka","Robbie Fowler"
"1290",1290,"2003-12-07","Southampton","Charlton","Antti Niemi","Jason Dodd","Danny Higginbotham","Claus Lundekvam","Michael Svensson","Rory Delap","David Prutton","Paul Telfer","James Beattie","Brett Ormerod","Marian Pahars","Dean Kiely","Jonathan Fortune","Hermann Hreidarsson","Chris Perry","Radostin Kishishev","Matt Holland","Claus Jensen","Scott Parker","Graham Stuart","Jason Euell","Paolo Di Canio"
"1291",1291,"2003-12-13","Chelsea","Bolton","Carlo Cudicini","Marcel Desailly","John Terry","Glen Johnson","Wayne Bridge","Frank Lampard","Claude Makelele","Damien Duff","Jesper Gronkjaer","Hernan Crespo","Adrian Mutu","Jussi J‰‰skel‰inen","Nicky Hunt","Bruno N'Gotty","Ivan Campo","Simon Charlton","Youri Djorkaeff","Per Frandsen","Ricardo Gardner","Kevin Nolan","Jay Jay Okocha","Kevin Davies"
"1292",1292,"2003-12-13","Leicester","Birmingham","Ian Walker","Matt Elliott","Callum Davidson","Riccy Scimeca","Jordan Stewart","Ben Thatcher","Andy Impey","Muzzy Izzet","James Scowcroft","Paul Dickov","Les Ferdinand","Maik Taylor","Kenny Cunningham","Jeff Kenna","Matthew Upson","Jamie Clapham","Stephen Clemence","David Dunn","Damien Johnson","Robbie Savage","Mikael Forssell","Clinton Morrison"
"1293",1293,"2003-12-13","Liverpool","Southampton","Chris Kirkland","Jon Otsemobor","John Arne Riise","Sami Hyypia","Igor Biscan","Steven Gerrard","Dietmar Hamann","Danny Murphy","Vladimir Smicer","El Hadji Diouf","Emile Heskey","Antti Niemi","Jason Dodd","Danny Higginbotham","Claus Lundekvam","Michael Svensson","Rory Delap","David Prutton","Paul Telfer","James Beattie","Brett Ormerod","Marian Pahars"
"1294",1294,"2003-12-13","Man United","Man City","Tim Howard","Gary Neville","John O'Shea","Mikael Silvestre","Rio Ferdinand","Phil Neville","Ryan Giggs","Roy Keane"," Kleberson","Paul Scholes","Ruud Van Nistelrooy","David Seaman","Sylvain Distin","SUN Ji Hai","David Sommeil","Richard Dunne","Joey Barton","Steve McManaman","Trevor Sinclair","Shaun Wright-Phillips","Nicolas Anelka","Robbie Fowler"
"1295",1295,"2003-12-13","Middlesbrough","Charlton","Mark Schwarzer","Danny Mills","Chris Riggott","Gareth Southgate","Franck Queudrue","George Boateng","Jonathan Greening","Gaizka Mendieta","Bolo Zenden","Massimo Maccarone","Szilard Nemeth","Dean Kiely","Jonathan Fortune","Hermann Hreidarsson","Chris Perry","Radostin Kishishev","Matt Holland","Claus Jensen","Scott Parker","Graham Stuart","Jason Euell","Paolo Di Canio"
"1296",1296,"2003-12-13","Newcastle","Tottenham","Shay Given","Aaron Hughes","Titus Bramble","Jonathan Woodgate","Gary Speed","Olivier Bernard","Kieron Dyer","Jermaine Jenas","Laurent Robert","Shola Ameobi","Alan Shearer","Kasey Keller","Stephen Carr","Anthony Gardner","Paul Konchesky","Dean Richards","Ledley King","Mauricio Taricco","Darren Anderton","Gus Poyet","Frederic Kanoute","Robbie Keane"
"1297",1297,"2003-12-13","Portsmouth","Everton","Pavel Srnicek","Hayden Foxe","Dejan Stefanovic","Boris Zivkovic","Matt Taylor","Amdy Faye","Alexei Smertin","Steve Stone","Jason Roberts","Teddy Sheringham"," Yakubu Ayegbeni","Nigel Martyn","Alessandro Pistone","David Unsworth","Steve Watson","Alan Stubbs","Kevin Kilbane","Gary Naysmith","Lee Carsley","Thomas Gravesen","Kevin Campbell","Tomasz Radzinski"
"1298",1298,"2003-12-14","Arsenal","Blackburn","Jens Lehmann","Sol Campbell","Pascal Cygan","Kolo Toure","Ashley Cole"," Gilberto Silva","Freddie Ljungberg","Robert Pires","Patrick Vieira","Dennis Bergkamp","Thierry Henry","Brad Friedel","Markus Babbel","Brett Emerton","Vratislav Gresko","Craig Short","Lucas Neill","Andy Todd","Barry Ferguson"," Tugay Kerimoglu","Paul Gallagher","Dwight Yorke"
"1299",1299,"2003-12-14","Aston Villa","Wolves","Thomas Sorensen","Mark Delaney","JLloyd Samuel","Olof Mellberg","Dion Dublin","Gareth Barry","Thomas Hitzlsperger","Gavin McCann","Marcus Allback","Juan Pablo Angel","Darius Vassell","Michael Oakes","Oleg Luzhny","Paul Butler","Jody Craddock","Denis Irwin","Colin Cameron","Paul Ince","Alex Rae","Henri Camara","Mark Kennedy","Dean Sturridge"
"1300",1300,"2003-12-14","Leeds","Fulham","Paul Robinson","Garry Kelly","Michael Duberry","Lucas Radebe","Dominic Matteo","James Milner","Ian Harte","David Batty","Jermaine Pennant","Alan Smith","Mark Viduka","Edwin van der Sar","Moritz Volz","Zat Knight","Andy Melville","Jon Harley","Lee Clark","Sean Davis","Sylvain Legwinski","Steed Malbranque","Luis Boa Morte","Louis Saha"
"1301",1301,"2003-12-20","Blackburn","Aston Villa","Brad Friedel","Markus Babbel","Brett Emerton","Craig Short","Lucas Neill","Andy Todd","Barry Ferguson"," Tugay Kerimoglu","Andrew Cole","Paul Gallagher","Dwight Yorke","Thomas Sorensen","Mark Delaney","JLloyd Samuel","Olof Mellberg","Dion Dublin","Gareth Barry","Lee Hendrie","Gavin McCann","Peter Whittingham","Juan Pablo Angel","Stefan Moore"
"1302",1302,"2003-12-20","Bolton","Arsenal","Jussi J‰‰skel‰inen","Nicky Hunt","Emerson Thome","Ivan Campo","Simon Charlton","Youri Djorkaeff","Per Frandsen","Ricardo Gardner","Kevin Nolan","Jay Jay Okocha","Kevin Davies","Jens Lehmann","Sol Campbell","Pascal Cygan","Kolo Toure","GaÎl Clichy"," Gilberto Silva","Freddie Ljungberg","Robert Pires","Patrick Vieira","Dennis Bergkamp","Thierry Henry"
"1303",1303,"2003-12-20","Charlton","Newcastle","Dean Kiely","Jonathan Fortune","Hermann Hreidarsson","Chris Perry","Radostin Kishishev","Matt Holland","Claus Jensen","Scott Parker","Graham Stuart","Jason Euell","Paolo Di Canio","Shay Given","Aaron Hughes","Andy O'Brien","Nolberto Solano","Gary Speed","Olivier Bernard","Kieron Dyer","Jermaine Jenas","Laurent Robert","Shola Ameobi","Alan Shearer"
"1304",1304,"2003-12-20","Everton","Leicester","Nigel Martyn","Alessandro Pistone","David Unsworth","Alan Stubbs","Kevin Kilbane","Gary Naysmith","Lee Carsley","Thomas Gravesen","James McFadden","Kevin Campbell","Tomasz Radzinski","Ian Walker","Steve Howey","Riccy Scimeca","Jordan Stewart","Ben Thatcher","Andy Impey","Muzzy Izzet","Billy McKinlay","James Scowcroft","Marcus Bent","Les Ferdinand"
"1305",1305,"2003-12-20","Fulham","Chelsea","Edwin van der Sar","Moritz Volz","Zat Knight","Andy Melville","Jon Harley","Lee Clark","Sean Davis","Sylvain Legwinski","Steed Malbranque","Luis Boa Morte","Louis Saha","Carlo Cudicini","Marcel Desailly","John Terry","Glen Johnson","Wayne Bridge","Frank Lampard","Claude Makelele","Damien Duff","Jesper Gronkjaer","Hernan Crespo","Adrian Mutu"
"1306",1306,"2003-12-21","Southampton","Portsmouth","Antti Niemi","Jason Dodd","Danny Higginbotham","Claus Lundekvam","Michael Svensson","Chris Marsden","David Prutton","Paul Telfer","James Beattie","Brett Ormerod","Marian Pahars","Harald Wapenaar","Hayden Foxe","Dejan Stefanovic","Linvoy Primus","Sebastian Schemmel","Matt Taylor","Richard Hughes","Tim Sherwood","Alexei Smertin","Jason Roberts","Teddy Sheringham"
"1307",1307,"2003-12-21","Tottenham","Man United","Kasey Keller","Stephen Carr","Anthony Gardner","Paul Konchesky","Dean Richards","Ledley King","Mauricio Taricco","Darren Anderton","Stephane Dalmat","Frederic Kanoute","Robbie Keane","Tim Howard","Gary Neville","John O'Shea","Mikael Silvestre","Rio Ferdinand","Phil Neville","Darren Fletcher","Ryan Giggs","Roy Keane","Paul Scholes","Ruud Van Nistelrooy"
"1308",1308,"2003-12-22","Man City","Leeds","David Seaman","Sylvain Distin","SUN Ji Hai","David Sommeil","Richard Dunne","Joey Barton","Steve McManaman","Claudio Reyna","Shaun Wright-Phillips","Nicolas Anelka","Robbie Fowler","Paul Robinson","Garry Kelly","Michael Duberry","Lucas Radebe","Dominic Matteo","James Milner","Ian Harte","David Batty","Jermaine Pennant","Alan Smith","Mark Viduka"
"1309",1309,"2003-12-26","Arsenal","Wolves","Jens Lehmann","Sol Campbell","Pascal Cygan","Kolo Toure","GaÎl Clichy","Freddie Ljungberg","Ray Parlour","Robert Pires","Patrick Vieira","Dennis Bergkamp","Thierry Henry","Michael Oakes","Oleg Luzhny","Paul Butler","Jody Craddock","Lee Naylor","Colin Cameron","Paul Ince","Alex Rae","Henri Camara","Mark Kennedy","Kenny Miller"
"1310",1310,"2003-12-26","Birmingham","Man City","Maik Taylor","Kenny Cunningham","Jeff Kenna","Matthew Upson","Stephen Clemence","David Dunn","Damien Johnson","Stan Lazaridis","Robbie Savage","Mikael Forssell","Clinton Morrison","David Seaman","Sylvain Distin","SUN Ji Hai","David Sommeil","Richard Dunne","Joey Barton","Steve McManaman","Claudio Reyna","Shaun Wright-Phillips","Nicolas Anelka","Robbie Fowler"
"1311",1311,"2003-12-26","Blackburn","Middlesbrough","Brad Friedel","Markus Babbel","Brett Emerton","Nils-Eric Johansson","Martin Taylor","Lucas Neill","Andy Todd","Barry Ferguson","Garry Flitcroft","Paul Gallagher","Dwight Yorke","Mark Schwarzer","Colin Cooper","Andrew Davies","Gareth Southgate","Franck Queudrue","George Boateng","Stewart Downing"," Juninho","Gaizka Mendieta","Bolo Zenden","Michael Ricketts"
"1312",1312,"2003-12-26","Charlton","Chelsea","Dean Kiely","Jonathan Fortune","Hermann Hreidarsson","Chris Perry","Radostin Kishishev","Matt Holland","Scott Parker","Graham Stuart","Jason Euell","Paolo Di Canio","Jonatan Johansson","Carlo Cudicini","Marcel Desailly","John Terry","Glen Johnson","Wayne Bridge","Joe Cole","Frank Lampard","Claude Makelele","Jesper Gronkjaer","Jimmy Floyd Hasselbaink","Adrian Mutu"
"1313",1313,"2003-12-26","Fulham","Southampton","Edwin van der Sar","Moritz Volz","JÈrome Bonnissel","Alain Goma","Zat Knight","Martin Djetou","Lee Clark","Junichi Inamoto","Steed Malbranque","Luis Boa Morte","Louis Saha","Antti Niemi","Jason Dodd","Danny Higginbotham","Claus Lundekvam","Michael Svensson","Chris Marsden","David Prutton","Paul Telfer","Neil McCann","James Beattie","Brett Ormerod"
"1314",1314,"2003-12-26","Leeds","Aston Villa","Paul Robinson","Garry Kelly","Michael Duberry","Matt Kilgallon","Dominic Matteo","James Milner","Ian Harte","David Batty","Jermaine Pennant","Alan Smith","Mark Viduka","Thomas Sorensen","Mark Delaney","JLloyd Samuel","Olof Mellberg","Dion Dublin","Gareth Barry","Lee Hendrie","Gavin McCann","Peter Whittingham","Juan Pablo Angel","Stefan Moore"
"1315",1315,"2003-12-26","Leicester","Newcastle","Ian Walker","John Curtis","Steve Howey","Riccy Scimeca","Jordan Stewart","Ben Thatcher","Muzzy Izzet","Billy McKinlay","James Scowcroft","Paul Dickov","Les Ferdinand","Shay Given","Aaron Hughes","Titus Bramble","Andy O'Brien","Nolberto Solano","Gary Speed","Olivier Bernard","Jermaine Jenas","Laurent Robert","Lomano Tresor Lua Lua","Alan Shearer"
"1316",1316,"2003-12-26","Liverpool","Bolton","Chris Kirkland","Jon Otsemobor","John Arne Riise","Sami Hyypia","Igor Biscan","Steven Gerrard","Dietmar Hamann","Danny Murphy","Vladimir Smicer","Harry Kewell","Florent Sinama-Pongolle","Jussi J‰‰skel‰inen","Nicky Hunt","Emerson Thome","Ivan Campo","Simon Charlton","Youri Djorkaeff","Per Frandsen","Ricardo Gardner","Kevin Nolan","Jay Jay Okocha","Kevin Davies"
"1317",1317,"2003-12-26","Man United","Everton","Tim Howard","Gary Neville","John O'Shea","Mikael Silvestre","Rio Ferdinand","Nicky Butt","Quinton Fortune"," Kleberson","Cristiano Ronaldo","David Bellion","Diego Forlan","Nigel Martyn","David Unsworth","Alan Stubbs","Tony Hibbert","Kevin Kilbane","Gary Naysmith","Thomas Gravesen","Tobias Linderoth","LI Tie","Kevin Campbell","Wayne Rooney"
"1318",1318,"2003-12-26","Portsmouth","Tottenham","Harald Wapenaar","Dejan Stefanovic","Boris Zivkovic","Arjan De Zeeuw","Linvoy Primus","Patrik Berger","Tim Sherwood","Alexei Smertin","Steve Stone","Teddy Sheringham"," Yakubu Ayegbeni","Kasey Keller","Stephen Carr","Anthony Gardner","Dean Richards","Ledley King","Mauricio Taricco","Stephane Dalmat","Johnnie Jackson","Gus Poyet","Frederic Kanoute","Robbie Keane"
"1319",1319,"2003-12-28","Aston Villa","Fulham","Thomas Sorensen","Mark Delaney","JLloyd Samuel","Ronny Johnsen","Olof Mellberg","Gareth Barry","Lee Hendrie","Gavin McCann","Peter Whittingham","Juan Pablo Angel","Darius Vassell","Edwin van der Sar","Moritz Volz","Alain Goma","Zat Knight","Martin Djetou","Jon Harley","Lee Clark","Junichi Inamoto","Steed Malbranque","Luis Boa Morte","Louis Saha"
"1320",1320,"2003-12-28","Bolton","Leicester","Jussi J‰‰skel‰inen","Nicky Hunt","Bruno N'Gotty","Ivan Campo","Simon Charlton","Youri Djorkaeff","Ricardo Gardner","Stelios Giannakopoulos","Kevin Nolan","Jay Jay Okocha","Kevin Davies","Danny Coyne","John Curtis","Matt Heath","Callum Davidson","Riccy Scimeca","Ben Thatcher","Muzzy Izzet","Craig Hignett","James Scowcroft","Marcus Bent","Paul Dickov"
"1321",1321,"2003-12-28","Chelsea","Portsmouth","Neil Sullivan","Mario Melchiot","William Gallas","John Terry","Wayne Bridge"," Geremi","Frank Lampard","Claude Makelele","Jesper Gronkjaer","Eidur Gudjohnsen","Adrian Mutu","Harald Wapenaar","Dejan Stefanovic","Boris Zivkovic","Arjan De Zeeuw","Linvoy Primus","Patrik Berger","Richard Hughes","Gary O'Neil","Steve Stone","Jason Roberts"," Yakubu Ayegbeni"
"1322",1322,"2003-12-28","Everton","Birmingham","Nigel Martyn","David Unsworth","Alan Stubbs","Tony Hibbert","Kevin Kilbane","Gary Naysmith","Lee Carsley","Thomas Gravesen","Alex Nyarko","Duncan Ferguson","Tomasz Radzinski","Maik Taylor","Kenny Cunningham","Jeff Kenna","Matthew Upson","Stephen Clemence","Bryan Hughes","Damien Johnson","Stan Lazaridis","Robbie Savage","Mikael Forssell","Stern John"
