"","season","team","name","MV"
"290","20062007","West Ham","Kepa Blanco",1350000
"291","20062007","West Ham","Teddy Sheringham",450000
"292","20062007","Everton","Tim Howard",2160000
"293","20062007","Everton","Richard Wright",1130000
"294","20062007","Everton","Iain Turner",108000
"295","20062007","Everton","Joleon Lescott",7200000
"296","20062007","Everton","Joseph Yobo",4680000
"297","20062007","Everton","Alan Stubbs",1040000
"298","20062007","Everton","David Weir",9e+05
"299","20062007","Everton","Mark Hughes",90000
"300","20062007","Everton","Nuno Valente",3380000
"301","20062007","Everton","Alessandro Pistone",2250000
"302","20062007","Everton","Gary Naysmith",1260000
"303","20062007","Everton","Paddy Boyle",0
"304","20062007","Everton","Phil Neville",4050000
"305","20062007","Everton","Tony Hibbert",3830000
"306","20062007","Everton","Andy Holt",0
"307","20062007","Everton","Lee Carsley",2030000
"308","20062007","Everton","Anderson Silva",450000
"309","20062007","Everton","Mikel Arteta",6080000
"310","20062007","Everton","Manuel Fernandes",5400000
"311","20062007","Everton","Leon Osman",2700000
"312","20062007","Everton","Bjarni Vidarsson",0
"313","20062007","Everton","Simon Davies",3330000
"314","20062007","Everton","Kevin Kilbane",4050000
"315","20062007","Everton","Tim Cahill",7650000
"316","20062007","Everton","Andy van der Meyde",7200000
"317","20062007","Everton","James McFadden",2930000
"318","20062007","Everton","Andy Johnson",9900000
"319","20062007","Everton","James Beattie",7070000
"320","20062007","Everton","James Vaughan",270000
"321","20062007","Everton","Victor Anichebe",45000
"322","20062007","Middlesbrough","Mark Schwarzer",3380000
"323","20062007","Middlesbrough","Brad Jones",315000
"324","20062007","Middlesbrough","Ross Turnbull",45000
"325","20062007","Middlesbrough","David Knight",45000
"326","20062007","Middlesbrough","Jonathan Woodgate",10800000
"327","20062007","Middlesbrough","Emanuel Pogatetz",3420000
"328","20062007","Middlesbrough","Ugo Ehiogu",2700000
"329","20062007","Middlesbrough","Chris Riggott",2520000
"330","20062007","Middlesbrough","Robert Huth",2480000
"331","20062007","Middlesbrough","Matthew Bates",810000
"332","20062007","Middlesbrough","Andrew Davies",450000
"333","20062007","Middlesbrough","David Wheater",45000
"334","20062007","Middlesbrough","Seb Hines",0
"335","20062007","Middlesbrough","Rhys Williams",0
"336","20062007","Middlesbrough","Andrew Taylor",90000
"337","20062007","Middlesbrough","Stuart Parnaby",1350000
"338","20062007","Middlesbrough","Abel Xavier",765000
"339","20062007","Middlesbrough","Tony McMahon",45000
"340","20062007","Middlesbrough","George Boateng",5130000
"341","20062007","Middlesbrough","Lee Cattermole",630000
"342","20062007","Middlesbrough","Fábio Rochemback",5940000
"343","20062007","Middlesbrough","Julio Arca",2880000
"344","20062007","Middlesbrough","James Morrison",2030000
"345","20062007","Middlesbrough","Josh Walker",0
"346","20062007","Middlesbrough","Gaizka Mendieta",4680000
"347","20062007","Middlesbrough","Stewart Downing",6300000
"348","20062007","Middlesbrough","Malcolm Christie",2160000
"349","20062007","Middlesbrough","Adam Johnson",360000
"350","20062007","Middlesbrough","Jason Euell",7200000
"351","20062007","Middlesbrough","Yakubu Aiyegbeni",9900000
"352","20062007","Middlesbrough","Mark Viduka",4950000
"353","20062007","Middlesbrough","Massimo Maccarone",3150000
"354","20062007","Middlesbrough","Dong-guk Lee",9e+05
"355","20062007","Middlesbrough","Danny Graham",360000
"356","20062007","Middlesbrough","Tom Craddock",0
"357","20062007","Man City","Andreas Isaksson",5400000
"358","20062007","Man City","Joe Hart",810000
"359","20062007","Man City","Nicky Weaver",630000
"360","20062007","Man City","Sylvain Distin",7200000
"361","20062007","Man City","Richard Dunne",4500000
"362","20062007","Man City","Jihai Sun",4050000
"363","20062007","Man City","Nedum Onuoha",1800000
"364","20062007","Man City","Micah Richards",1170000
"365","20062007","Man City","Stephen Jordan",810000
"366","20062007","Man City","Matthew Mills",360000
"367","20062007","Man City","Ben Thatcher",3830000
"368","20062007","Man City","DaMarcus Beasley",3150000
"369","20062007","Man City","Michael Ball",2250000
"370","20062007","Man City","Danny Mills",5130000
"371","20062007","Man City","Hatem Trabelsi",4500000
"372","20062007","Man City","Danny Warrender",180000
"373","20062007","Man City","Nathan D'Laryea",0
"374","20062007","Man City","Ousmane Dabo",3780000
"375","20062007","Man City","Dietmar Hamann",3600000
"376","20062007","Man City","Michael Johnson",0
"377","20062007","Man City","Joey Barton",5400000
"378","20062007","Man City","Claudio Reyna",3240000
"379","20062007","Man City","Stephen Ireland",2160000
"380","20062007","Man City","Georgios Samaras",7200000
"381","20062007","Man City","Trevor Sinclair",4050000
"382","20062007","Man City","Djamel Abdoun",90000
"383","20062007","Man City","Darius Vassell",4230000
"384","20062007","Man City","Bernardo Corradi",3600000
"385","20062007","Man City","Emile Mpenza",2250000
"386","20062007","Man City","Paul Dickov",1350000
"387","20062007","Man City","Ishmael Miller",45000
"388","20062007","Man City","Daniel Sturridge",0
"389","20062007","Portsmouth","David James",3240000
"390","20062007","Portsmouth","Dean Kiely",1080000
"391","20062007","Portsmouth","Jamie Ashdown",630000
"392","20062007","Portsmouth","Sol Campbell",9e+06
"393","20062007","Portsmouth","Andrew O'Brien",2700000
"394","20062007","Portsmouth","Djimi Traoré",2250000
"395","20062007","Portsmouth","Noé Pamarot",1980000
"396","20062007","Portsmouth","Dejan Stefanovic",1800000
"397","20062007","Portsmouth","Linvoy Primus",1580000
"398","20062007","Portsmouth","Laurén",5850000
"399","20062007","Portsmouth","Glen Johnson",3600000
"400","20062007","Portsmouth","Andy Griffin",1980000
"401","20062007","Portsmouth","Sean Davis",2700000
"402","20062007","Portsmouth","Pedro Mendes",2700000
"403","20062007","Portsmouth","Arnold Mvuemba",1080000
"404","20062007","Portsmouth","Richard Hughes",9e+05
"405","20062007","Portsmouth","Manuel Fernandes",5400000
"406","20062007","Portsmouth","Gary O'Neil",1800000
"407","20062007","Portsmouth","David Thompson",2480000
"408","20062007","Portsmouth","Matthew Taylor",1440000
"409","20062007","Portsmouth","Niko Kranjcar",4500000
"410","20062007","Portsmouth","Douala",3600000
"411","20062007","Portsmouth","Ognjen Koroman",2480000
"412","20062007","Portsmouth","Franck Songo'o",360000
"413","20062007","Portsmouth","Lomana LuaLua",4950000
"414","20062007","Portsmouth","Benjani",3830000
"415","20062007","Portsmouth","Andrew Cole",3600000
"416","20062007","Portsmouth","Nwankwo Kanu",2700000
"417","20062007","Portsmouth","Svetoslav Todorov",1800000
"418","20062007","Portsmouth","Daryl Fordyce",0
"419","20062007","Fulham","Antti Niemi",4050000
