"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTGS","ATGS","HTGC","ATGC","HTP","ATP","HM1","HM2","HM3","HM4","HM5","AM1","AM2","AM3","AM4","AM5","HomeTeamLP","AwayTeamLP","MW","HTWinStreak3","HTWinStreak5","HTLossStreak3","HTLossStreak5","ATWinStreak3","ATWinStreak5","ATLossStreak3","ATLossStreak5","HTGD","ATGD","DiffPts","DiffFormPts","DiffLP"
"80",2000-10-14,"Arsenal","AstonVilla",1,0,"H",13,11,9,7,1.5,1.5,"1","4","5","6","9","3","4","7","10","10",2,6,8,0,0,0,0,0,0,0,0,0.5,0.5,0,0.25,-4
"81",2000-10-14,"Coventry","Tottenham",2,1,"H",8,11,14,11,0.888888888888889,1.22222222222222,"1","1","1","2","2","0","1","1","4","7",14,10,9,0,0,0,0,0,0,0,0,-0.666666666666667,0,-0.333333333333333,-0.555555555555556,4
"82",2000-10-14,"Everton","Southampton",1,1,"D",11,11,15,12,0.888888888888889,1,"0","1","1","4","4","0","3","6","6","7",13,15,9,0,0,0,0,0,0,0,0,-0.444444444444444,-0.111111111111111,-0.111111111111111,-0.333333333333333,-2
"83",2000-10-14,"Ipswich","WestHam",1,1,"D",11,10,10,11,1.22222222222222,0.777777777777778,"3","4","7","7","7","1","4","5","5","6",18,9,9,0,0,0,0,0,0,0,0,0.111111111111111,-0.111111111111111,0.444444444444444,0.111111111111111,9
"84",2000-10-14,"Leeds","Charlton",3,1,"H",14,14,10,13,1.55555555555556,1.33333333333333,"3","6","7","7","8","1","4","7","8","9",3,18,9,0,0,0,0,0,0,0,0,0.444444444444444,0.111111111111111,0.222222222222222,-0.111111111111111,-15
"85",2000-10-14,"Leicester","ManUnited",0,3,"A",7,20,2,8,1.77777777777778,1.66666666666667,"1","2","5","8","11","0","1","4","7","10",8,1,9,0,0,0,0,0,0,0,0,0.555555555555556,1.33333333333333,0.111111111111111,0.111111111111111,7
"86",2000-10-14,"ManCity","Bradford",2,0,"H",10,4,14,12,0.888888888888889,0.666666666666667,"0","1","2","2","5","1","1","1","2","2",18,17,9,0,0,0,0,0,0,0,0,-0.444444444444444,-0.888888888888889,0.222222222222222,0.333333333333333,1
"87",2000-10-14,"Sunderland","Chelsea",1,0,"H",7,13,11,12,1,1.11111111111111,"1","2","5","5","6","3","4","4","5","6",7,5,9,0,0,0,0,0,0,0,0,-0.444444444444444,0.111111111111111,-0.111111111111111,0,2
"88",2000-10-15,"Derby","Liverpool",0,4,"A",14,12,19,13,0.555555555555556,1.33333333333333,"0","1","1","2","3","0","1","2","5","8",16,4,9,0,0,0,0,0,0,0,0,-0.555555555555556,-0.111111111111111,-0.777777777777778,-0.555555555555556,12
"89",2000-10-16,"Middlesbrough","Newcastle",1,3,"A",14,8,12,7,1.11111111111111,1.44444444444444,"3","4","5","5","6","3","3","3","4","7",12,11,9,0,0,0,0,0,0,0,0,0.222222222222222,0.111111111111111,-0.333333333333333,-0.111111111111111,1
"90",2000-10-21,"Bradford","Ipswich",0,2,"A",4,11,12,10,0.666666666666667,1.22222222222222,"1","1","1","2","2","3","4","7","7","7",17,18,9,0,0,0,0,0,0,0,0,-0.888888888888889,0.111111111111111,-0.555555555555556,-0.555555555555556,-1
"91",2000-10-21,"Charlton","Middlesbrough",1,0,"H",15,15,16,15,1.2,1,"0","1","4","7","8","0","3","4","5","5",18,12,10,0,0,0,0,0,0,0,0,-0.1,0,0.2,0.3,6
"92",2000-10-21,"Chelsea","Coventry",6,1,"H",13,10,13,15,1,1.1,"0","3","4","4","5","3","4","4","4","5",5,14,10,0,0,0,0,0,0,0,0,0,-0.5,-0.1,0,-9
"93",2000-10-21,"Liverpool","Leicester",1,0,"H",16,7,13,5,1.5,1.6,"3","3","4","5","8","0","1","2","5","8",4,8,10,0,0,0,0,0,0,0,0,0.3,0.2,-0.1,0,-4
"94",2000-10-21,"ManUnited","Leeds",3,0,"H",23,14,8,13,1.8,1.4,"3","3","4","7","10","0","3","6","7","7",1,3,10,0,0,0,0,0,0,0,0,1.5,0.1,0.4,0,-2
"95",2000-10-21,"Newcastle","Everton",0,1,"A",11,12,8,16,1.6,0.9,"3","6","6","6","7","1","1","2","2","5",11,13,10,0,0,0,0,0,0,0,0,0.3,-0.4,0.7,0.2,-2
"96",2000-10-21,"Tottenham","Derby",3,1,"H",12,14,13,23,1.1,0.5,"0","0","1","1","4","0","0","1","1","2",10,16,10,0,0,0,0,0,0,0,0,-0.1,-0.9,0.6,0.2,-6
"97",2000-10-21,"WestHam","Arsenal",1,2,"A",11,15,12,9,0.8,1.8,"1","2","5","6","6","3","6","7","10","11",9,2,10,0,0,0,0,0,0,0,0,-0.1,0.6,-1,-0.1,7
"98",2000-10-22,"AstonVilla","Sunderland",0,0,"D",11,8,8,11,1.3,1.2,"1","1","4","5","8","3","4","5","8","8",6,7,10,0,0,0,0,0,0,0,0,0.3,-0.3,0.1,0,-1
"99",2000-10-23,"Southampton","ManCity",0,2,"A",12,12,13,14,1,1.1,"1","1","4","7","7","3","3","4","5","5",15,18,10,0,0,0,0,0,0,0,0,-0.1,-0.2,-0.1,0.2,-3
