"","match_date","FTR","IWH","IWD","IWA","hg1_score","hd1_score","hd2_score","hd3_score","hd4_score","hd5_score","hd6_score","hd7_score","hm1_score","hm2_score","hm3_score","hm4_score","hm5_score","hm6_score","hm7_score","hf1_score","hf2_score","hf3_score","hf4_score","ag1_score","ad1_score","ad2_score","ad3_score","ad4_score","ad5_score","ad6_score","ad7_score","am1_score","am2_score","am3_score","am4_score","am5_score","am6_score","am7_score","af1_score","af2_score","af3_score","af4_score","af5_score","ad8_score","hd8_score","FTR_H","FTR_A","FTR_D"
"1607","2008-10-29","H","1.2","5.2","11",75,67,86,87,84,0,0,0,82,76,81,91,0,0,0,86,85,0,0,80,82,70,79,79,75,71,0,75,74,0,0,0,0,0,78,72,0,0,0,0,0,1,0,0
"1608","2008-10-29","H","2.55","3.1","2.55",70,72,69,71,77,0,0,0,72,81,74,83,0,0,0,73,78,0,0,78,76,71,82,80,79,0,0,83,75,81,0,0,0,0,85,70,0,0,0,0,0,1,0,0
"1609","2008-10-29","H","2.5","3","2.7",73,74,67,72,71,69,0,0,65,67,68,0,0,0,0,74,67,0,0,67,71,71,76,76,71,0,0,75,72,0,0,0,0,0,78,78,68,0,0,0,0,1,0,0
"1610","2008-11-01","H","1.22","5","10",88,82,88,82,83,0,0,0,84,85,86,81,0,0,0,83,83,0,0,67,76,76,72,76,71,0,0,75,73,72,0,0,0,0,77,63,0,0,0,0,0,1,0,0
"1611","2008-11-01","H","1.7","3.4","4.3",82,82,78,76,80,0,0,0,82,75,75,77,80,0,0,84,0,0,0,75,72,72,79,67,0,0,0,78,75,75,74,0,0,0,80,73,0,0,0,0,0,1,0,0
"1612","2008-11-01","H","1.17","5.7","12",85,79,86,87,84,0,0,0,82,83,81,91,0,0,0,86,87,0,0,73,70,69,69,67,0,0,0,74,75,70,65,0,0,0,76,74,0,0,0,0,0,1,0,0
"1613","2008-11-01","D","1.9","3.3","3.5",70,72,69,71,77,0,0,0,72,81,74,83,0,0,0,73,78,0,0,80,75,70,79,75,71,78,0,51,75,66,0,0,0,0,78,0,0,0,0,0,0,0,0,1
"1614","2008-11-01","A","1.8","3.2","4",83,78,78,77,69,73,0,0,73,81,75,0,0,0,0,76,81,0,0,77,75,69,73,67,78,0,0,69,75,75,0,0,0,0,77,71,0,0,0,0,0,0,1,0
"1615","2008-11-01","H","6","3.9","1.45",73,74,67,72,71,69,0,0,65,66,67,0,0,0,0,74,67,0,0,79,82,76,85,83,0,0,0,76,75,88,72,0,0,0,86,77,0,0,0,0,0,1,0,0
"1616","2008-11-01","H","3.2","3.1","2.1",82,71,81,77,80,77,81,0,82,82,71,0,0,0,0,79,0,0,0,84,77,78,82,85,0,0,0,88,85,79,82,80,0,0,83,0,0,0,0,0,0,1,0,0
"1617","2008-11-01","D","2.5","3.2","2.5",77,70,68,69,70,0,0,0,69,73,68,74,0,0,0,70,68,0,0,78,70,76,77,77,58,77,0,65,72,0,0,0,0,0,79,74,0,0,0,0,0,0,0,1
"1618","2008-11-02","H","2.7","3.2","2.3",78,69,75,75,71,74,0,0,72,76,79,0,0,0,0,75,70,0,0,78,76,82,78,80,79,0,0,83,75,81,0,0,0,0,58,85,0,0,0,0,0,1,0,0
"1619","2008-11-03","H","2.7","3.2","2.3",83,74,77,81,76,73,0,0,75,73,76,0,0,0,0,71,82,0,0,80,81,74,79,84,80,83,75,77,0,0,0,0,0,0,81,81,0,0,0,0,0,1,0,0
