"","name","MV","season"
"470","Nathan Ashton",0,"20062007"
"471","Luke Young",4050000,"20062007"
"472","Osei Sankofa",45000,"20062007"
"473","Alistair John",0,"20062007"
"474","Alex Song",3600000,"20062007"
"475","Amdy Fayé",2250000,"20062007"
"476","Radostin Kishishev",2250000,"20062007"
"477","Zhi Zheng",9e+05,"20062007"
"478","Matt Holland",3600000,"20062007"
"479","Simon Walton",180000,"20062007"
"480","Omar Pouso",0,"20062007"
"481","Andy Reid",5130000,"20062007"
"482","Darren Ambrose",1580000,"20062007"
"483","Bryan Hughes",1800000,"20062007"
"484","Jerome Thomas",540000,"20062007"
"485","Dennis Rommedahl",3600000,"20062007"
"486","Lloyd Sam",68000,"20062007"
"487","Rúrik Gíslason",45000,"20062007"
"488","Darren Bent",6750000,"20062007"
"489","Jimmy Hasselbaink",4320000,"20062007"
"490","Marcus Bent",3380000,"20062007"
"491","Kevin Lisbie",2250000,"20062007"
"492","James Walker",0,"20062007"
"493","Brad Friedel",2070000,"20062007"
"494","Peter Enckelman",1130000,"20062007"
"495","Jason Brown",45000,"20062007"
"496","Stéphane Henchoz",3060000,"20062007"
"497","Lucas Neill",2700000,"20062007"
"498","Zurab Khizanishvili",2250000,"20062007"
"499","André Ooijer",2250000,"20062007"
"500","Ryan Nelsen",1800000,"20062007"
"501","Andy Todd",1620000,"20062007"
"502","Aaron Mokoena",1580000,"20062007"
"503","Jay McEveley",675000,"20062007"
"504","Christopher Samba",450000,"20062007"
"505","Eddie Nolan",0,"20062007"
"506","Stephen Warnock",1620000,"20062007"
"507","Michael Gray",1350000,"20062007"
"508","Bruno Berner",585000,"20062007"
"509","Steven Reid",3420000,"20062007"
"510","Tugay Kerimoglu",1170000,"20062007"
"511","Morten Pedersen",4050000,"20062007"
"512","Robbie Savage",3600000,"20062007"
"513","Paul Gallagher",1130000,"20062007"
"514","Brett Emerton",4050000,"20062007"
"515","David Bentley",2340000,"20062007"
"516","Sergio Peter",450000,"20062007"
"517","David Dunn",4950000,"20062007"
"518","Shabani Nonda",5400000,"20062007"
"519","Benni McCarthy",5400000,"20062007"
"520","Jason Roberts",3470000,"20062007"
"521","Francis Jeffers",2340000,"20062007"
"522","Shefki Kuqi",1580000,"20062007"
"523","Matt Derbyshire",180000,"20062007"
"524","Jussi Jääskeläinen",4730000,"20062007"
"525","Ian Walker",1580000,"20062007"
"526","Ali Al-Habsi",360000,"20062007"
"527","Chris Howarth",113000,"20062007"
"528","Przemyslaw Kazimierczak",0,"20062007"
"529","Sam Ashton",0,"20062007"
"530","Abdoulaye Méïté",3600000,"20062007"
"531","Abdoulaye Fayé",2160000,"20062007"
"532","Tal Haim",2030000,"20062007"
"533","César Martín",1580000,"20062007"
"534","Jaroslaw Fojut",158000,"20062007"
"535","Lubomir Michalik",0,"20062007"
"536","Blazej Augustyn",0,"20062007"
"537","Ricardo Gardner",1800000,"20062007"
"538","Johann Smith",45000,"20062007"
"539","Scott Jamieson",0,"20062007"
"540","Joey O'Brien",1350000,"20062007"
"541","Nicky Hunt",9e+05,"20062007"
"542","James Sinclair",0,"20062007"
"543","Iván Campo",1800000,"20062007"
"544","Idan Tal",810000,"20062007"
"545","Andranik Teymourian",360000,"20062007"
"546","Quinton Fortune",2030000,"20062007"
"547","David Thompson",2480000,"20062007"
"548","Gary †",855000,"20062007"
"549","Kevin Nolan",5400000,"20062007"
"550","Stelios Giannakopoulos",3600000,"20062007"
"551","Ricardo Tê",9e+05,"20062007"
"552","Nicolas Anelka",8100000,"20062007"
"553","El-Hadji Diouf",4950000,"20062007"
"554","Kevin Davies",2700000,"20062007"
"555","Henrik Pedersen",1530000,"20062007"
"556","Bédi Buval",45000,"20062007"
"557","Zoltán Harsányi",0,"20062007"
"558","Chris Kirkland",2700000,"20062007"
"559","John Filan",630000,"20062007"
"560","Mike Pollitt",585000,"20062007"
"561","Carlo Nash",315000,"20062007"
"562","Fitz Hall",4050000,"20062007"
"563","Paul Scharner",3150000,"20062007"
"564","Arjan Zeeuw",1440000,"20062007"
"565","Andy Webster",1130000,"20062007"
"566","Andreas Granqvist",810000,"20062007"
"567","Lee McCulloch",495000,"20062007"
"568","David Unsworth",2250000,"20062007"
"569","Leighton Baines",1800000,"20062007"
"570","Steve McMillan",603000,"20062007"
"571","Pascal Chimbonda",3600000,"20062007"
"572","Antonio Valencia",2030000,"20062007"
"573","Ryan Taylor",765000,"20062007"
"574","Matt Jackson",360000,"20062007"
"575","Emmerson Boyce",270000,"20062007"
"576","Tomasz Cywka",68000,"20062007"
"577","David Wright",540000,"20062007"
"578","Denny Landzaat",6300000,"20062007"
"579","Josip Skoko",2340000,"20062007"
"580","Graham Kavanagh",1580000,"20062007"
"581","Andreas Johansson",765000,"20062007"
"582","Kristofer Haestad",450000,"20062007"
"583","Lewis Montrose",0,"20062007"
"584","David Owens",0,"20062007"
"585","Kevin Kilbane",4050000,"20062007"
"586","Gary Teale",450000,"20062007"
"587","David Cotterill",360000,"20062007"
