"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTGS","ATGS","HTGC","ATGC","HTP","ATP","HTS","ATS","HTST","ATST","home_start_mv","away_start_mv","HomeTeamLP","AwayTeamLP","HomeAvgAge","AwayAvgAge","HomeAvgMV","AwayAvgMV","MW","HM1","AM1","HM2","AM2","HM3","AM3","HM4","AM4","HM5","AM5","HM10","AM10","HM20","AM20","HMH1","AMA1","Distance","HTGD","ATGD","DiffPts","DiffLP"
"2354","2006-10-14","Middlesbrough","Everton","2","1","H","6","12","12","6",0.625,1.625,8.75,8.75,4,4.75,34031000,44391000,14,11,23.2,25,2.49,3.31,8,0,1,0,2,0,3,1,6,2,9,0,0,0,0,0,1,171,-0.75,0.75,-1,3
"2355","2006-10-14","Portsmouth","WestHam","2","0","H","10","6","3","10",1.625,0.625,9.625,8.25,5.875,3.5,35651000,25340000,17,9,26.4,25.1,2.71,2.55,8,0,0,0,0,0,0,6,1,9,1,0,0,0,0,0,0,110,0.875,-0.5,1,8
"2356","2006-10-14","Reading","Chelsea","0","1","A","9","12","7","4",1.625,2,6.125,10.75,3.25,5.125,7292000,226761000,18,1,24,23.2,0.622,9.82,8,3,1,4,4,7,7,10,10,10,13,0,0,0,0,1,3,55,0.25,1,-0.375,17
"2357","2006-10-14","Wigan","ManUnited","1","3","A","7","14","11","4",0.625,2,9.375,15.5,4.75,7.625,33391000,103051000,10,2,26,24.2,1.67,6.24,8,0,3,1,4,2,4,2,7,5,10,0,0,0,0,1,1,26,-0.5,1.25,-1.375,8
"2358","2006-10-15","Newcastle","Bolton","1","2","A","6","7","10","3",0.5,1.625,10.375,5.875,6.375,2.5,58051000,23865000,7,8,25,24.6,4.66,1.65,8,0,0,1,6,1,6,1,7,1,10,0,0,0,0,1,3,166,-0.5,0.5,-1.125,-1
"2359","2006-10-16","Fulham","Charlton","2","1","H","8","5","12","13",1,0.375,8.125,7.5,4,3.125,29070000,35331000,12,13,26.3,24.7,2.05,1.87,8,1,0,1,0,2,0,5,0,5,0,0,0,0,0,0,0,18,-0.5,-1,0.625,-1
"2360","2006-10-21","AstonVilla","Fulham","1","1","D","9","8","4","12",1.625,1,8.125,8.125,4.5,4,30034000,29340000,16,12,24.8,26.3,2.73,2.05,8,1,1,4,1,5,2,6,5,9,5,0,0,0,0,1,1,162,0.625,-0.5,0.625,4
"2361","2006-10-21","Charlton","Watford","0","0","D","6","7","15","13",0.333333333333333,0.444444444444444,7.77777777777778,9.55555555555556,3.11111111111111,4.55555555555556,33351000,9095000,13,18,24.7,23.1,1.87,0.412,9,0,0,0,1,0,2,0,3,0,3,0,0,0,0,0,0,35,-1,-0.666666666666667,-0.111111111111111,-5
"2362","2006-10-21","Chelsea","Portsmouth","2","1","H","13","12","4","3",2.11111111111111,1.77777777777778,10.3333333333333,10.5555555555556,5,5.88888888888889,252181000,34752000,1,17,23.2,26.4,9.82,2.71,9,3,3,4,3,7,3,10,3,13,9,0,0,0,0,1,0,98,1,1,0.333333333333333,-16
"2363","2006-10-21","Everton","SheffieldUnited","2","0","H","13","4","8","10",1.44444444444444,0.666666666666667,9.11111111111111,8.11111111111111,5.11111111111111,4.11111111111111,45151000,8223000,11,18,25,25.1,3.31,0.66,9,0,1,1,4,2,4,3,4,6,5,0,0,0,0,1,1,100,0.555555555555556,-0.666666666666667,0.777777777777778,-7
"2364","2006-10-21","Wigan","ManCity","4","0","H","11","6","11","9",0.555555555555556,1,9.66666666666667,10.3333333333333,4.77777777777778,4.77777777777778,31011000,31320000,10,15,26,24.4,1.67,2.72,9,0,1,0,2,1,5,2,5,2,5,0,0,0,0,0,1,31,0,-0.333333333333333,-0.444444444444444,-5
"2365","2006-10-22","Blackburn","Bolton","0","1","A","9","9","10","4",1.33333333333333,1.77777777777778,9.33333333333333,6,4.33333333333333,2.77777777777778,33031000,23865000,6,8,26.6,24.6,2.25,1.65,9,1,3,4,3,7,9,10,9,11,10,0,0,0,0,3,3,17,-0.111111111111111,0.555555555555556,-0.444444444444444,-2
"2366","2006-10-22","ManUnited","Liverpool","2","0","H","17","9","5","9",2.11111111111111,1.22222222222222,15.1111111111111,14.2222222222222,7.33333333333333,6.44444444444444,115381000,111833000,2,3,24.2,23.6,6.24,5.89,9,3,1,6,1,7,4,7,7,10,7,0,0,0,0,3,0,45,1.33333333333333,0,0.888888888888889,-1
"2367","2006-10-22","Middlesbrough","Newcastle","1","0","H","8","7","13","12",0.888888888888889,0.444444444444444,8.77777777777778,10.3333333333333,4.22222222222222,6,42351000,54360000,14,7,23.2,25,2.49,4.66,9,3,0,3,0,3,1,3,1,4,1,0,0,0,0,3,0,51,-0.555555555555556,-0.555555555555556,0.444444444444444,7
"2368","2006-10-22","Reading","Arsenal","0","4","A","9","15","8","4",1.44444444444444,1.55555555555556,6,15.1111111111111,2.88888888888889,8.33333333333333,7292000,93164000,18,4,24,22.8,0.622,5.69,9,0,0,3,6,4,6,7,12,10,12,0,0,0,0,0,3,62,0.111111111111111,1.22222222222222,-0.111111111111111,14
