"","name","MV","season"
"369","Michael BallM. Ball","£2.25m  ","20062007"
"370","Danny MillsD. Mills","£5.13m  ","20062007"
"371","Hatem TrabelsiH. Trabelsi","£4.50m  ","20062007"
"372","Danny WarrenderD. Warrender","£180k  ","20062007"
"373","Nathan D'LaryeaN. D'Laryea"," ","20062007"
"374","Ousmane DaboO. Dabo","£3.78m  ","20062007"
"375","Dietmar HamannD. Hamann","£3.60m  ","20062007"
"376","Michael JohnsonM. Johnson"," ","20062007"
"377","Joey BartonJ. Barton","£5.40m  ","20062007"
"378","Claudio ReynaC. Reyna","£3.24m  ","20062007"
"379","Stephen IrelandS. Ireland","£2.16m  ","20062007"
"380","Georgios SamarasG. Samaras","£7.20m  ","20062007"
"381","Trevor SinclairT. Sinclair","£4.05m  ","20062007"
"382","Djamel AbdounD. Abdoun","£90k  ","20062007"
"383","Darius VassellD. Vassell","£4.23m  ","20062007"
"384","Bernardo CorradiB. Corradi","£3.60m  ","20062007"
"385","Emile MpenzaE. Mpenza","£2.25m  ","20062007"
"386","Paul DickovP. Dickov","£1.35m  ","20062007"
"387","Ishmael MillerI. Miller","£45k  ","20062007"
"388","Daniel SturridgeD. Sturridge"," ","20062007"
"389","David JamesD. James","£3.24m  ","20062007"
"390","Dean KielyD. Kiely","£1.08m  ","20062007"
"391","Jamie AshdownJ. Ashdown","£630k  ","20062007"
"392","Sol CampbellS. Campbell","£9.00m  ","20062007"
"393","Andrew O'BrienA. O'Brien","£2.70m  ","20062007"
"394","Djimi TraoréD. Traoré","£2.25m  ","20062007"
"395","Noé PamarotN. Pamarot","£1.98m  ","20062007"
"396","Dejan StefanovicD. Stefanovic","£1.80m  ","20062007"
"397","Linvoy PrimusL. Primus","£1.58m  ","20062007"
"398","LaurénLaurén","£5.85m  ","20062007"
"399","Glen JohnsonG. Johnson","£3.60m  ","20062007"
"400","Andy GriffinA. Griffin","£1.98m  ","20062007"
"401","Sean DavisS. Davis","£2.70m  ","20062007"
"402","Pedro MendesP. Mendes","£2.70m  ","20062007"
"403","Arnold MvuembaA. Mvuemba","£1.08m  ","20062007"
"404","Richard HughesR. Hughes","£900k  ","20062007"
"405","Manuel FernandesM. Fernandes","£5.40m  ","20062007"
"406","Gary O'NeilG. O'Neil","£1.80m  ","20062007"
"407","David ThompsonD. Thompson","£2.48m  ","20062007"
"408","Matthew TaylorM. Taylor","£1.44m  ","20062007"
"409","Niko KranjcarN. Kranjcar","£4.50m  ","20062007"
"410","DoualaDouala","£3.60m  ","20062007"
"411","Ognjen KoromanO. Koroman","£2.48m  ","20062007"
"412","Franck Songo'oF. Songo'o","£360k  ","20062007"
"413","Lomana LuaLuaL. LuaLua","£4.95m  ","20062007"
"414","BenjaniBenjani","£3.83m  ","20062007"
"415","Andrew ColeA. Cole","£3.60m  ","20062007"
"416","Nwankwo KanuN. Kanu","£2.70m  ","20062007"
"417","Svetoslav TodorovS. Todorov","£1.80m  ","20062007"
"418","Daryl FordyceD. Fordyce"," ","20062007"
"419","Antti NiemiA. Niemi","£4.05m  ","20062007"
"420","Jan LastuvkaJ. Lastuvka","£2.25m  ","20062007"
"421","Ricardo BatistaR. Batista","£900k  ","20062007"
"422","Mark CrossleyM. Crossley","£450k  ","20062007"
"423","Tony WarnerT. Warner","£450k  ","20062007"
"424","Zat KnightZ. Knight","£2.97m  ","20062007"
"425","Carlos BocanegraC. Bocanegra","£2.25m  ","20062007"
"426","Ian PearceI. Pearce","£1.35m  ","20062007"
"427","Philippe ChristanvalP. Christanval","£900k  ","20062007"
"428","Gabriel ZakuaniG. Zakuani"," ","20062007"
"429","Franck QueudrueF. Queudrue","£4.05m  ","20062007"
"430","Niclas JensenN. Jensen","£1.26m  ","20062007"
"431","Matthew BriggsM. Briggs"," ","20062007"
"432","Moritz VolzM. Volz","£2.52m  ","20062007"
"433","Liam RoseniorL. Rosenior","£1.35m  ","20062007"
"434","Elliot OmozusiE. Omozusi"," ","20062007"
"435","Aleksey SmertinA. Smertin","£5.85m  ","20062007"
"436","Papa Bouba DiopP. Diop","£4.95m  ","20062007"
"437","Simon ElliottS. Elliott","£720k  ","20062007"
